N_A,N_B,cost_元,x,m,p_hat,ci_lower,ci_upper,verdict,main_seed_verdict
617,1,9.160439118908576,3643,4000,0.91075,0.9015160490862878,0.9191957682388001,reliable,
618,0,9.173607628114874,3649,4000,0.91225,0.9030817948219702,0.9206271441732035,reliable,
610,12,9.074961618792155,3591,4000,0.89775,0.8879759551714758,0.9067608076795377,crossing,crossing
616,0,9.143919577538451,3636,4000,0.909,0.8996902911162716,0.9175248842603833,crossing,
611,0,9.069699451097392,3598,4000,0.8995,0.8897957393622715,0.908437665437175,crossing,crossing
617,0,9.158763602826662,3643,4000,0.91075,0.9015160490862878,0.9191957682388001,reliable,reliable
611,3,9.074725999343135,3598,4000,0.8995,0.8897957393622715,0.908437665437175,crossing,crossing
610,4,9.061557490136838,3591,4000,0.89775,0.8879759551714758,0.9067608076795377,crossing,crossing
609,21,9.075197238241175,3582,4000,0.8955,0.8856374787281953,0.9046036016176897,crossing,crossing
609,5,9.048388980930541,3582,4000,0.8955,0.8856374787281953,0.9046036016176897,crossing,crossing
608,14,9.04862460037956,3570,4000,0.8925,0.8825216268887314,0.9017252101169826,crossing,crossing
